##fileDate=2018-09-25
##CollaboratorSampleID=1703722-2027047-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.0007230121	chr9	.	133761109	133761110	ABL1	0.0007230121	-0.360236
chr2	.	158594014	158594015	ACVR1	0.002891035	chr2	.	158656038	158656039	ACVR1	0.002891035	0.1098239
chr14	.	105235474	105235475	AKT1	1.200173e-14	chr14	.	105259039	105259040	AKT1	1.200173e-14	-0.9977997
chr19	.	40739438	40739439	AKT2	0.00436003	chr19	.	40789989	40789990	AKT2	0.00436003	-0.1970035
chr2	.	29416057	29416058	ALK	0.0002095631	chr2	.	30135065	30135066	ALK	0.0002095631	-0.1801272
chrX	.	63409728	63409729	AMER1	5.465106e-06	chrX	.	63413138	63413139	AMER1	5.465106e-06	-0.7180649
chr5	.	112043375	112043376	APC	0.001986413	chr5	.	112179860	112179861	APC	0.001986413	-0.08007859
chrX	.	47422336	47422337	ARAF	1.780892e-09	chrX	.	47430898	47430899	ARAF	1.780892e-09	-0.8046769
chr1	.	27022855	27022856	ARID1A	2.379673e-09	chr1	.	27107220	27107221	ARID1A	2.379673e-09	-0.3721663
chr20	.	30946506	30946507	ASXL1	1.225703e-05	chr20	.	31025190	31025191	ASXL1	1.225703e-05	-0.2169009
chr11	.	108093837	108093838	ATM	0.3264012	chr11	.	108236267	108236268	ATM	0.3264012	-0.01814025
chrX	.	76763801	76763802	ATRX	2.634049e-22	chrX	.	77041544	77041545	ATRX	2.634049e-22	-0.4430516
chr20	.	54943983	54943984	AURKA	0.4995366	chr20	.	54968808	54968809	AURKA	0.4995366	0.03684676
chr15	.	45003702	45003703	B2M	0.2950871	chr15	.	45008602	45008603	B2M	0.2950871	-0.261788
chr3	.	52436276	52436277	BAP1	1.428914e-05	chr3	.	52443938	52443939	BAP1	1.428914e-05	-0.4343285
chr18	.	60985253	60985254	BCL2	0.01657663	chr18	.	60985913	60985914	BCL2	0.01657663	-0.7592154
chrX	.	39911329	39911330	BCOR	1.492471e-06	chrX	.	40036344	40036345	BCOR	1.492471e-06	-0.3225775
chr11	.	102190090	102190091	BIRC3	0.5112833	chr11	.	102209814	102209815	BIRC3	0.5112833	-0.04814736
chr7	.	140434356	140434357	BRAF	1.22537e-20	chr7	.	140624544	140624545	BRAF	1.22537e-20	-0.3835148
chr17	.	41197660	41197661	BRCA1	1.115928e-10	chr17	.	41276148	41276149	BRCA1	1.115928e-10	-0.2331559
chr13	.	32890550	32890551	BRCA2	0.002912537	chr13	.	32972924	32972925	BRCA2	0.002912537	-0.0632784
chr17	.	59760629	59760630	BRIP1	6.542543e-16	chr17	.	59938916	59938917	BRIP1	6.542543e-16	-0.4047783
chr12	.	92533314	92533315	BTG1	0.1190947	chr12	.	92539666	92539667	BTG1	0.1190947	-0.2513183
