##fileDate=2018-09-25
##CollaboratorSampleID=1807448-L210-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.0001338092	chr9	.	133761109	133761110	ABL1	0.0001338092	-0.7417431
chr2	.	158594014	158594015	ACVR1	0.03744752	chr2	.	158656038	158656039	ACVR1	0.03744752	0.2887761
chr14	.	105235474	105235475	AKT1	0.8176008	chr14	.	105259039	105259040	AKT1	0.8176008	0.02318135
chr19	.	40739438	40739439	AKT2	0.005450085	chr19	.	40789989	40789990	AKT2	0.005450085	0.3914839
chr2	.	29416057	29416058	ALK	0.2161536	chr2	.	30135065	30135066	ALK	0.2161536	-0.09890316
chrX	.	63409728	63409729	AMER1	0.0009549309	chrX	.	63413138	63413139	AMER1	0.0009549309	-0.4710667
chr5	.	112043375	112043376	APC	1.845384e-07	chr5	.	112179860	112179861	APC	1.845384e-07	-0.2615478
chrX	.	47422336	47422337	ARAF	0.9026998	chrX	.	47430898	47430899	ARAF	0.9026998	0.01077776
chr1	.	27022855	27022856	ARID1A	2.573864e-14	chr1	.	27107220	27107221	ARID1A	2.573864e-14	-0.6944566
chr20	.	30946506	30946507	ASXL1	3.793619e-05	chr20	.	31025190	31025191	ASXL1	3.793619e-05	0.3756561
chr11	.	108093837	108093838	ATM	2.535636e-49	chr11	.	108236267	108236268	ATM	2.535636e-49	-1.436758
chrX	.	76763801	76763802	ATRX	0.7065506	chrX	.	77041544	77041545	ATRX	0.7065506	0.01930739
chr20	.	54943983	54943984	AURKA	0.03016684	chr20	.	54968808	54968809	AURKA	0.03016684	0.4212014
chr15	.	45003702	45003703	B2M	0.2823022	chr15	.	45008602	45008603	B2M	0.2823022	-0.2141841
chr3	.	52436276	52436277	BAP1	0.0002905589	chr3	.	52443938	52443939	BAP1	0.0002905589	-0.5347528
chr18	.	60985253	60985254	BCL2	0.03540237	chr18	.	60985913	60985914	BCL2	0.03540237	-1.399941
chrX	.	39911329	39911330	BCOR	8.199297e-07	chrX	.	40036344	40036345	BCOR	8.199297e-07	0.643015
chr11	.	102190090	102190091	BIRC3	7.156652e-08	chr11	.	102209814	102209815	BIRC3	7.156652e-08	-1.567877
chr7	.	140434356	140434357	BRAF	2.641228e-29	chr7	.	140624544	140624545	BRAF	2.641228e-29	-0.7576832
chr17	.	41197660	41197661	BRCA1	3.701452e-21	chr17	.	41276148	41276149	BRCA1	3.701452e-21	-1.284499
chr13	.	32890550	32890551	BRCA2	1.02459e-08	chr13	.	32972924	32972925	BRCA2	1.02459e-08	-0.3283144
chr17	.	59760629	59760630	BRIP1	2.48044e-15	chr17	.	59938916	59938917	BRIP1	2.48044e-15	-1.224849
chr12	.	92533314	92533315	BTG1	0.006404873	chr12	.	92539666	92539667	BTG1	0.006404873	0.6989656
