##fileDate=2018-09-25
##CollaboratorSampleID=1705544-CMP-GSIC-0005-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.001449531	chr9	.	133761109	133761110	ABL1	0.001449531	-0.3890205
chr2	.	158594014	158594015	ACVR1	0.04395372	chr2	.	158656038	158656039	ACVR1	0.04395372	-0.1183837
chr14	.	105235474	105235475	AKT1	6.329866e-11	chr14	.	105259039	105259040	AKT1	6.329866e-11	-1.002281
chr19	.	40739438	40739439	AKT2	0.03847632	chr19	.	40789989	40789990	AKT2	0.03847632	-0.1797422
chr2	.	29416057	29416058	ALK	0.004696893	chr2	.	30135065	30135066	ALK	0.004696893	-0.1920827
chrX	.	63409728	63409729	AMER1	0.002137511	chrX	.	63413138	63413139	AMER1	0.002137511	-0.4243703
chr5	.	112043375	112043376	APC	7.226243e-11	chr5	.	112179860	112179861	APC	7.226243e-11	-0.2989526
chrX	.	47422336	47422337	ARAF	0.0007779683	chrX	.	47430898	47430899	ARAF	0.0007779683	-0.2640874
chr1	.	27022855	27022856	ARID1A	2.298249e-10	chr1	.	27107220	27107221	ARID1A	2.298249e-10	-0.4344093
chr20	.	30946506	30946507	ASXL1	1.524566e-06	chr20	.	31025190	31025191	ASXL1	1.524566e-06	-0.3586731
chr11	.	108093837	108093838	ATM	1.265129e-07	chr11	.	108236267	108236268	ATM	1.265129e-07	0.1322691
chrX	.	76763801	76763802	ATRX	0.3941898	chrX	.	77041544	77041545	ATRX	0.3941898	0.02902316
chr20	.	54943983	54943984	AURKA	0.04251965	chr20	.	54968808	54968809	AURKA	0.04251965	-0.1885255
chr15	.	45003702	45003703	B2M	0.08447176	chr15	.	45008602	45008603	B2M	0.08447176	-0.5991616
chr3	.	52436276	52436277	BAP1	1.651489e-06	chr3	.	52443938	52443939	BAP1	1.651489e-06	-0.5335605
chr18	.	60985253	60985254	BCL2	0.007015588	chr18	.	60985913	60985914	BCL2	0.007015588	-1.279895
chrX	.	39911329	39911330	BCOR	0.0006905396	chrX	.	40036344	40036345	BCOR	0.0006905396	0.3034446
chr11	.	102190090	102190091	BIRC3	0.5160649	chr11	.	102209814	102209815	BIRC3	0.5160649	0.06243298
chr7	.	140434356	140434357	BRAF	8.058839e-25	chr7	.	140624544	140624545	BRAF	8.058839e-25	-0.4414907
chr17	.	41197660	41197661	BRCA1	8.443577e-12	chr17	.	41276148	41276149	BRCA1	8.443577e-12	-0.4507952
chr13	.	32890550	32890551	BRCA2	1.014307e-22	chr13	.	32972924	32972925	BRCA2	1.014307e-22	-0.3488838
chr17	.	59760629	59760630	BRIP1	3.351671e-13	chr17	.	59938916	59938917	BRIP1	3.351671e-13	-0.5946687
chr12	.	92533314	92533315	BTG1	0.1970994	chr12	.	92539666	92539667	BTG1	0.1970994	-0.1788425
